feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14
226.76596082861136,-90.78599738592486,-7.859202433672613,148819200.0,1.83,2.0573448194519e+27,62.487,100.591,-113.115,122.427,121.772,122.018,33.091,262.779,0.216
227.58770592685087,-85.87112371023774,-15.151501729461174,148819200.0,0.588,3.6197870670163e+27,62.716,84.93,-42.713,122.833,122.071,122.375,33.372,8.554,0.0758
228.47755287360116,-80.70267448894032,-23.110475117785217,148819200.0,0.607,4.9793797549885e+26,62.449,81.081,44.888,123.125,122.326,122.688,37.717,33.535,0.0777
229.3950290557928,-75.33138243218875,-31.56508014688214,148819200.0,0.63,1.3790745483183e+27,62.714,122.988,-16.759,123.167,122.579,122.869,39.846,-68.826,0.0674
230.2981101349235,-69.8088963004019,-40.27953933948854,148819200.0,0.833,4.2476537255068e+27,62.258,87.907,-15.265,123.257,122.873,123.068,41.95,11.805,0.0847
231.16354298516052,-64.16545841695326,-48.92555309048374,148819200.0,0.832,4.4125968228731e+27,62.323,90.653,6.206,118.021,121.536,120.544,34.316,-6.22,0.0729
232.10454657007875,-58.290462893599745,-56.96660144352975,148819200.0,0.549,5.0702861223195e+27,62.312,63.456,-46.127,113.48,118.752,116.665,51.031,-33.901,0.056
233.05011616802878,-52.26219936803235,-64.06286552044094,148819200.0,0.476,1.5422861379724e+27,62.21,47.235,37.399,116.75,118.196,116.805,49.56,-5.739,0.0687
233.95201319696173,-46.13529150173793,-69.84283173493036,164129164.0,0.457,1.8861533796446e+28,61.865,43.062,-40.996,118.959,117.631,117.098,45.818,-11.554,0.0592
234.82576510968852,-39.89619226304084,-73.85599375923603,189281249.0,0.831,1.2221448158818e+28,61.635,72.231,-64.879,119.877,117.253,117.791,47.911,57.754,0.0884
235.72022971012038,-33.49388426291843,-75.62909314087548,189281249.0,0.425,1.0135299466585e+28,61.069,57.924,-120.546,120.837,117.001,118.882,45.626,-32.564,0.0463
236.7136019882846,-26.844449297781825,-74.70249012981463,189281249.0,0.677,8.5191592557557e+27,60.152,64.812,2.839,122.052,118.446,120.355,41.393,24.91,0.0739
237.96492607801937,-19.779388148427675,-70.60862490738974,189281249.0,0.645,9.9389315655591e+27,59.613,52.964,33.943,122.985,120.589,121.619,38.504,-23.387,0.0677
239.6863609404591,-12.077199600596533,-62.96058782044193,189281249.0,0.492,3.8301781942738e+26,59.29,60.771,1.183,123.565,121.561,122.429,35.736,17.632,0.0545
242.25809903920072,-3.3527320230058986,-51.40052169419377,189281249.0,0.6,2.1196936161049e+27,59.083,40.459,40.056,123.935,122.252,123.076,35.992,9.596,0.081
245.85318164788805,6.54301715002364,-36.17362744238354,412308267.0,1.079,6.5071467390317e+27,64.903,231.38,33.303,220.73,205.22,210.518,134.013,76.568,0.213
249.36288895678481,16.428585138264886,-19.318413698637343,510929738.0,3.46,4.2781264763223e+28,66.901,217.307,-4.175,236.911,212.75,221.284,152.353,184.661,0.659
252.7821699911541,26.252495494051285,-1.676981171335606,510929738.0,3.454,4.5435998249002e+28,69.384,274.863,-21.673,258.341,223.935,236.602,179.846,138.504,0.583
256.31489371846266,36.18713297450799,16.185186326850268,510929738.0,1.064,7.645794284565e+28,76.4,127.081,57.167,307.293,270.358,287.903,197.903,-60.004,0.233
260.04218465802654,46.27357466680706,33.50892933993748,510929738.0,0.547,1.4004399005641e+27,79.131,168.37,12.835,349.062,316.956,329.137,272.082,-43.645,0.131
263.29284468867974,55.77859053410307,48.661568167092085,510929738.0,0.505,5.352584455375e+28,81.058,200.457,111.141,379.613,335.094,350.147,304.451,-60.752,0.134
